id,order_date,price
442,2018-03-10,26203.91
443,2018-03-11,31320.43
444,2018-03-12,30644.66
445,2018-03-13,36074.24
446,2018-03-14,23528.79
447,2018-03-15,44311.46
448,2018-03-16,32832.19
449,2018-03-17,20078.5
450,2018-03-18,31119.33
451,2018-03-19,44645.19
452,2018-03-20,35749.47
453,2018-03-21,39714.43
454,2018-03-22,31119.41
455,2018-03-23,29621.24
456,2018-03-24,23787.77
457,2018-03-25,25557.29
458,2018-03-26,35779.01
459,2018-03-27,34732.56
460,2018-03-28,29713.34
461,2018-03-29,28926.73
462,2018-03-30,22088.14
463,2018-03-31,25203.73
464,2018-04-01,29396.66
465,2018-04-02,40279.1
466,2018-04-03,36246.51
467,2018-04-04,37982.73
468,2018-04-05,36058.79
469,2018-04-06,27784.74
470,2018-04-07,25517.38
471,2018-04-08,23463.85
472,2018-04-09,49308.73
473,2018-04-10,27870.56
474,2018-04-11,40782.96
475,2018-04-12,34117.58
476,2018-04-13,31150.36
477,2018-04-14,18845.7
478,2018-04-15,30524.04
479,2018-04-16,40412.26
480,2018-04-17,36682.97
481,2018-04-18,39472.71
482,2018-04-19,43287.21
483,2018-04-20,28353.84
484,2018-04-21,18966.34
485,2018-04-22,27350.9
486,2018-04-23,37674.27
487,2018-04-24,43083.77
488,2018-04-25,40995.02
489,2018-04-26,31631.36
490,2018-04-27,40752.54
491,2018-04-28,23560.56
492,2018-04-29,19411.7
493,2018-04-30,35682.61
494,2018-05-01,33163.8
495,2018-05-02,38557.72
496,2018-05-03,42497.77
497,2018-05-04,39730.93
498,2018-05-05,28306.45
499,2018-05-06,28565.97
500,2018-05-07,54167.48
501,2018-05-08,47800.69
502,2018-05-09,43589.12
503,2018-05-10,51458.67
504,2018-05-11,37859.19
505,2018-05-12,29604.14
506,2018-05-13,31313.52
507,2018-05-14,53842.38
508,2018-05-15,41119.85
509,2018-05-16,56283.73
510,2018-05-17,31488.47
511,2018-05-18,31621.52
512,2018-05-19,25201.29
513,2018-05-20,19586.54
514,2018-05-21,25404.06
515,2018-05-22,27793.91
516,2018-05-23,17501.05
517,2018-05-24,20073.26
518,2018-05-25,15888.92
519,2018-05-26,14799.17
520,2018-05-27,12523.25
521,2018-05-28,26877.47
522,2018-05-29,25572.08
523,2018-05-30,19214.0
524,2018-05-31,25111.28
525,2018-06-01,32298.920000000002
526,2018-06-02,25266.62
527,2018-06-03,28461.66
528,2018-06-04,28622.4
529,2018-06-05,30709.36
530,2018-06-06,26134.4
531,2018-06-07,37020.4
532,2018-06-08,26870.41
533,2018-06-09,29325.079999999998
534,2018-06-10,25501.97
535,2018-06-11,49669.7
536,2018-06-12,40369.0
537,2018-06-13,34616.96
538,2018-06-14,27504.6
539,2018-06-15,26617.56
540,2018-06-16,24616.05
541,2018-06-17,17316.33
542,2018-06-18,34718.3
543,2018-06-19,34630.33
544,2018-06-20,28793.99
545,2018-06-21,27703.58
546,2018-06-22,24807.27
547,2018-06-23,17501.92
548,2018-06-24,24432.6
549,2018-06-25,36135.52
550,2018-06-26,30957.57
551,2018-06-27,26496.48
552,2018-06-28,32171.97
553,2018-06-29,20473.48
554,2018-06-30,15379.880000000001
555,2018-07-01,24369.47
556,2018-07-02,23158.62
557,2018-07-03,26307.31
558,2018-07-04,35651.65
559,2018-07-05,28809.33
560,2018-07-06,19005.54
561,2018-07-07,9076.56
562,2018-07-08,14410.79
563,2018-07-09,19564.85
564,2018-07-10,18724.57
565,2018-07-11,18519.98
566,2018-07-12,28891.77
567,2018-07-13,27644.23
568,2018-07-14,22257.69
569,2018-07-15,30037.49
570,2018-07-16,31308.29
571,2018-07-17,30421.48
572,2018-07-18,41193.49
573,2018-07-19,38705.58
574,2018-07-20,32031.44
575,2018-07-21,21113.58
576,2018-07-22,27753.42
577,2018-07-23,39911.22
578,2018-07-24,41525.76
579,2018-07-25,40417.5
580,2018-07-26,35292.72
581,2018-07-27,28371.75
582,2018-07-28,25210.12
583,2018-07-29,31434.079999999998
584,2018-07-30,39070.66
585,2018-07-31,45316.28
586,2018-08-01,40553.8
587,2018-08-02,38462.26
588,2018-08-03,42075.18
589,2018-08-04,35511.96
590,2018-08-05,35583.76
591,2018-08-06,56427.39
592,2018-08-07,49178.98
593,2018-08-08,43333.07
594,2018-08-09,40040.28
595,2018-08-10,33424.73
596,2018-08-11,25960.93
597,2018-08-12,31524.21
598,2018-08-13,38613.13
599,2018-08-14,44192.840000000004
600,2018-08-15,45574.04
601,2018-08-16,35670.61
602,2018-08-17,31730.67
603,2018-08-18,24340.95
604,2018-08-19,25487.39
605,2018-08-20,34479.5
606,2018-08-21,26323.06
607,2018-08-22,20297.13
608,2018-08-23,17030.87
609,2018-08-24,9633.61
610,2018-08-25,10599.41
611,2018-08-26,8070.71
612,2018-08-27,5345.91
613,2018-08-28,3673.91
614,2018-08-29,1546.04
615,2018-09-03,145.0
